;clean_tw;tw_text
1171;rosi odonnel ate cake viciou hillari commerci crook hillari;It was Rosie O'Donnell who ate the cake in the vicious Hillary commercial about me, not Crooked Hillary! @marthamaccallum
1172;peopl never ask vp tell press take posit;It is only the people that were never asked to be VP that tell the press that they will not take the position.
1173;nebraska votetrump today makeamericagreatagain trump;NEBRASKA #VoteTrump TODAY! #MakeAmericaGreatAgain #Trump2016 URLi
1174;west virginia votetrump today makeamericagreatagain trump;WEST VIRGINIA #VoteTrump TODAY! #MakeAmericaGreatAgain #Trump2016 URLi
1175;via jason greenblatt donald trump visionari talent countri need;"Via @JTAnews and Jason Greenblatt  ""Donald Trump is a Visionary With Talents Our Country Needs"" @JasonDovEsq   URLi"
1176;look much forward meet wpaul ryan amp gop parti leadership thur dc togeth beat dem level;"I look very much forward to meeting w/Paul Ryan &amp; the GOP Party Leadership on Thurs in DC. Together, we will beat the Dems at all levels!"
1177;great nebraska last week today big dayget vote;It was so great being in Nebraska last week. Today is the big day--get out and vote!
1178;hillari bad judgement;Hillary has bad judgement! URLi
1179;hillari bad judgment;Hillary has bad judgment! URLi
1180;hillari say thing cant chang say chang choic american corrupt global imwithy;Hillary says things can't change. I say they have to change. It's a choice between Americanism and her corrupt globalism. #Imwithyou
1181;imwithy;#Imwithyou URLi
1182;formal accept nomin trumppenc;FORMAL ACCEPTANCE OF THE NOMINATION! #TrumpPence16 URLi
1183;make america safe great rncincl;MAKE AMERICA SAFE AND GREAT AGAIN! #RNCinCLE URLi
1184;great four day cleveland proud great job done rnc polic secret servic fantast;What a great four days in Cleveland. So proud of the great job done by the RNC and all. The police and Secret Service were fantastic!
1185;thank cleveland love back mani time;Thank you Cleveland. We love you and will be back many times!
1186;one best produc includ incred stage amp set histori convent great uniti big tv rate;"One of the best produced, including the incredible stage &amp; set, in the history of conventions. Great unity! Big T.V. ratings! @KarlRove"
1187;rt watch provid updat develop situat munich germani;RT @WhiteHouse: Watch as @POTUS provides an update on the developing situation in #Munich, Germany: URLi
1188;anoth attack time germani mani kill god bless peopl munich;Another attack, this time in Germany. Many killed. God bless the people of Munich.
1189;kain took hundr thousand dollar gift governor virginia didnt get indict bob;Is it the same Kaine that took hundreds of thousands of dollars in gifts while Governor of Virginia and didn't get indicted while Bob M did?
1190;tim kain problem took far money governor virginia bob mcdonald crook hillari amp rig system;"Why did Tim Kaine have no problem when he took far  more money as Governor of Virginia than Bob McDonald. Crooked Hillary &amp; rigged system!"
1191;highli recommend book field fight gener michael flynn defeat radic islam;I highly recommend the just out book - THE FIELD OF FIGHT - by General Michael Flynn. How to defeat radical Islam.
1192;gener michael flynn make great secretari defens becom potu makeamericasafeagain;"""@Theresa_Cali: @realDonaldTrump General Michael Flynn will make a great Secretary of Defense when you become POTUS! #MakeAmericaSafeAgain"""
1193;wow came secret tape crook hillari want take mani syrian possibl let happen isi;Wow, just came out on secret tape that Crooked Hillary wants to take in as many Syrians as possible. We cannot let this happen - ISIS!
1194;major stori dem make phoni poll order suppress trump go win;Major story that the Dems are making up phony polls in order to suppress the the Trump . We are going to WIN!
1195;nobodi ask kain horribl view eman wikileak cathol medium tank clinton trump win;Why has nobody asked Kaine about the horrible views emanated on WikiLeaks about Catholics? Media in the tank for Clinton but Trump will win!
1196;win press refus report dont let fool get vote draintheswamp novemberth;We are winning and the press is refusing to report it. Don't let them fool you- get out and vote! #DrainTheSwamp on November 8th!
1197;get vote draintheswamp rssen nation trump clinton;Get out to VOTE on 11/8/2016- and we will #DrainTheSwamp! RSSEN NATIONAL  Trump 43% Clinton 41% URLi
1198;one dumbest polit pundit televis chri stirewalt wrong fact check fox debat rank trump dope;One of the dumbest political pundits on television is Chris Stirewalt of @FoxNews. Wrong facts - check Fox debate rankings, Trump #1. Dope!
1199;cant wait watch snl tomorrow realli big show;"""@essygalloway: @realDonaldTrump @nbcsnl @Sia  I can't wait to watch snl tomorrow."" A really big show!"
1200;plea thank brother nice word televis seem like great guy charact;.@RobertGBeckel Please thank your brother for his nice words on television. Seems like a great guy and character! @CNN
1201;saturday night live incred thing store tonight great thing play authent enjoy;Saturday Night Live has some incredible things in store tonight. The great thing about playing myself is that it will be authentic! Enjoy
1202;unearth donald trump vine account incred thank;"""@SocialInNewYork: We unearthed Donald Trump's Vine account from 2013 and it's incredible URLi"" Thank you."
1203;live new york donald trump soon host snl frazier enjoy show best wish;"""@Live5News: Live from New York, Donald Trump will soon be hosting 'SNL': URLi"" Frazier, enjoy the show and best wishes!"
1204;donald trump go win presid get board trumptrain go yuge thank;"""@HouseCracka: Donald Trump is going to win the Presidency. Get on board the #TrumpTrain its going to be #YUGE""  Thanks."
1205;say ticket tonight saturday night live hardest get histori great show good start;They are saying that tickets to tonight's Saturday Night Live are the hardest to get in the history of this great show! Off to a good start!
1206;havent seen anyon carri presidenti sinc reagan makeamericagreatagain great;"""@keksec_org: @realDonaldTrump I haven't seen anyone carry themselves so Presidential since Reagan. #MakeAmericaGreatAgain"" Great!"
1207;cant wait watch trump presid saturday night live;"""@tazz53098: @realDonaldTrump can't wait to watch. #trump for president #saturday night live"""
1208;live studioh tonight snl;"""@nbcsnl: We're live from Studio 8H tonight. #SNL URLi"""
1209;see rockefel center snl;"""@nbcsnl: See you at Rockefeller Center. #SNL URLi"""
1210;cecili also trump impress snl;"""@nbcsnl: Cecily also has a Trump impression. URLi #SNL URLi"""
1211;ben carson speak gener term would confront gunman critic victim fair;Ben Carson was speaking in general terms as to what he would do if confronted with a gunman, and was not criticizing the victims. Not fair!
1212;stuart steven book bad horribl polit advic mitt romney dont wast money arrog guy zero;If Stuart Stevens' book is as bad as his horrible political advice to Mitt Romney, don't waste your money. Arrogant guy but a zero!
1213;head pack hous waterloo iowa celebr today great poll number togeth see soon;Heading to a packed house in Waterloo, Iowa! Will celebrate today's great poll numbers together. See you soon!
1214;wonder somebodi doesnt someth clown total dishonest report;I wonder why somebody doesn't do something about the clowns @politico and their totally dishonest reporting.
1215;power dishonest;.@politico has no power,  but so dishonest!
1216;rt lead new quinnipiac poll;RT @TeamCavuto: .@realDonaldTrump is leading @RealBenCarson in new Quinnipiac poll @FoxBusiness URLi
1217;found rockingham counti republican booth straw poll deerfield fair new hampshir past weekend wow;Just found out I won the Rockingham County Republican Booth Straw Poll at the Deerfield Fair in New Hampshire this past weekend. 39% ---Wow!
1218;made dumbest polit decis time help romney get destroy obama;.@stuartpstevens made some of the dumbest political decisions of all time in helping Romney to get destroyed by Obama. Should have won!
1219;iowa amaz today great crowd great peopl thank back soon;Iowa was amazing today. Great crowd, great people. Thanks, will be back soon!
1220;bright side romney loss gave u donald trump true;"""@sugarofsaturn: @realDonaldTrump @stuartpstevens On the bright side Romney's loss gave us Donald Trump!""  So true!"
1221;tire fox bash trump amp push gop establish christierubiobush;"""@3462727: @BretBaier @Norsu2 @realDonaldTrump tired of FOX bashing Trump &amp; pushing GOP establish / Christie/Rubio/Bush"""
1222;he still consult fool would pay stuart advic;"""@DarrenJJordan: @realDonaldTrump @stuartpstevens And he's still a consultant? For what?""  Only a fool would pay Stuart for his advice."
1223;arriv la vega pack hous speech tomorrow big poll result today lead big everywher make america great;Just arrived in Las Vegas for a packed house speech tomorrow. Big poll results today, Leading big everywhere. MAKE AMERICA GREAT AGAIN!
1224;pay opposit win landslid;"""@metskins10: @realDonaldTrump @DarrenJJordan @stuartpstevens Pay him, just do the opposite and you will win in a landslide."""
1225;donald trump next presid unit state trump thank;"""@Sandikay60: @realDonaldTrump @DarrenJJordan @stuartpstevens Donald Trump, our next president of the United States! #trump2016""  Thank you."
1226;truli believ best makeamericagreatagain thank much;"""@keksec_org: @realDonaldTrump I truly believe you are the best #MakeAmericaGreatAgain""  Thank you so much!"
1227;size crowd get peopl care say trump oklahoma got even bigger;"""@GraggQuinton:  This is the size crowd you get when people care what you say -Trump in Oklahoma . Got even bigger URLi"""
1228;ye america need presid cant wait america great;"""@PjwJ316: @realDonaldTrump YES!!!!!!!!!! AMERICA NEEDS @realDonaldTrump FOR PRESIDENT!!! CAN'T WAIT FOR AMERICA TO BE GREAT AGAIN!!!!"""
1229;iowa poll big trump cruz rubio report cruz momentum noth fact easili;"Just won IOWA @CNN Poll BIG: Trump 33% Cruz 20% Rubio 11%,  but @WSJ reported ""Cruz momentum"" but nothing about the fact that I easily won!"
1230;wish wall street journal report iowa poll correctli lead wide margin point go big;I wish the @WSJ Wall Street Journal had reported the just out @CNN Iowa Poll correctly. I lead by a wide margin,13 points, going up big!
1231;isnt hous intellig committe look bill amp hillari deal allow big uranium go russia russian speech;"Why isn't the House Intelligence Committee looking into the Bill &amp; Hillary deal that allowed big Uranium to go to Russia, Russian speech...."
1232;money bill hillari russian reset prais russia hillari podesta russian compani trump russia stori hoax maga;"...money to Bill, the Hillary Russian ""reset,"" praise of Russia by Hillary, or Podesta Russian Company. Trump Russia story is a hoax. #MAGA!"
1233;republican hous freedom caucu abl snatch defeat jaw victori mani bad year readi win;The Republican House Freedom Caucus was able to snatch defeat from the jaws of victory. After so many bad years they were ready for a win!
1234;democrat make deal healthcar soon obamacar fold long worri good shape;The Democrats will make a deal with me on healthcare as soon as ObamaCare folds - not long. Do not worry, we are in very  good shape!
1235;arriv texa inform two offic shot thought prayer;Just arrived in Texas - have been informed two @fortworthpd officers have been shot. My thoughts and prayers are with them.
1236;interest take;A very interesting take from @KatiePavlich: URLi
1237;democrat angri mani obama democrat vote job bring back nation number;The Democrats are most angry that so many Obama Democrats voted for me. With all of the jobs I am bringing back to our Nation, that number..
1238;get higher car compani other want busi countri start make thing win;will only get higher. Car companies and others, if they want to do business in our country, have to start making things here again. WIN!
1239;mani year countri divid angri untrust mani say never chang hatr deep chang;For many years our country has been divided, angry and untrusting. Many say it will never change, the hatred is too deep. IT WILL CHANGE!!!!
1240;thank bob woodward said garbag documentit never presentedtrump right upset angri;"Thank you to Bob Woodward who said, ""That is a garbage document...it never should have been presented...Trump's right to be upset (angry)..."
1241;thatthos intellig chief made mistak amp peopl make mistak apolog medium also apolog;"about that...Those Intelligence chiefs made a mistake here, &amp; when people make mistakes, they should APOLOGIZE."" Media should also apologize"
1242;bad saturday night live worst nbc funni cast terribl alway complet hit job realli bad televis;.@NBCNews is bad but Saturday Night Live is the worst of NBC. Not funny, cast is terrible, always a complete hit job. Really bad television!
1243;outgo cia chief john brennan blast preselect trump russia threat fulli understand oh realli couldnt;".@FoxNews ""Outgoing CIA Chief, John Brennan, blasts Pres-Elect Trump on Russia threat. Does not fully understand."" Oh really, couldn't do..."
1244;much wors look syria red line crimea ukrain buildup russian nuke good leaker fake news;much worse - just look at Syria (red line), Crimea, Ukraine and the build-up of Russian nukes. Not good! Was this the leaker of Fake News?
1245;lawandord imwithy transcript;#LawandOrder #ImWithYou Transcript: URLi
1246;lawandord imwithy video;#LawandOrder #ImWithYou Video: URLi URLi
1247;join north carolina tomorrow timmepm imwithy ticket;Join me in North Carolina - tomorrow at TIMMEpm! #ImWithYou  Tickets: URLi
1248;thank governor amp chairman priebu makeamericagreatagain imwithy;"Thank you Governor @ScottWalker &amp; @GOP Chairman @Reince Priebus.  #MakeAmericaGreatAgain #ImWithYou URLi"
1249;makeamericasafeagain imwithy;#MakeAmericaSafeAgain #ImWithYou URLi
1250;vote hillari clinton vote anoth gener poverti high crime amp lost opportun imwithy;"A vote for Hillary Clinton is a vote for another generation of poverty, high crime, &amp; lost opportunities. #ImWithYou URLi"
1251;repeal amp replac obamacar caus soar doubledigit premium increas disast;"We will repeal &amp; replace #Obamacare, which has caused soaring double-digit premium increases. It is a disaster! URLi"
1252;go make govern peopl makeamericagreatagain imwithy;We are going to make this a government of the people once again! #MakeAmericaGreatAgain #ImWithYou URLi
1253;particip town hall event host tonight timme enjoy;Will be participating in a town hall event- hosted by @SeanHannity tonight at TIMMEE on @FoxNews. Enjoy! URLi
1254;town hall tonight timm;I will be doing a Town Hall tonight at TIMME  on @seanhannity - @FoxNews
1255;berni sander say hillari clinton unqualifi presid base decis make abil go along;Bernie Sanders says that Hillary Clinton is unqualified to be president. Based on her decision making ability, I can go along with that!
1256;fugedaboudit woman new york love donald trump;"""@gene70: @realDonaldTrump Fugedaboudit!!! The woman in New York love Donald Trump!!! URLi"""
1257;real person year wow;"""@gene70: @realDonaldTrump The Real Person Of The Year! URLi""  Wow!"
1258;great honor visit memori museum wife today newyorkvalu;A great honor to visit the 9/11 Memorial Museum with my wife, @MELANIATRUMP, today. #NewYorkValues URLi
1259;interview tonight timm enjoy;I will be interviewed on @JudgeJeanine on @FoxNews tonight at TIMME. Enjoy!
1260;deleg replac co gop convent sad;"""@vivhall3: @realDonaldTrump here your delegate replaced at CO GOP convention. URLi"" Very sad!"
1261;win elect crook hillari despit peopl republican parti current selfishli oppos;I will win the election against Crooked Hillary despite the people in the Republican Party that are currently and selfishly opposed to me!
1262;interview timm;I will be interviewed on @NewDay @CNN at TIMME 
1263;mattschlapp ball amp jenniferrubin time warp stupor expand gop;"""@mathewjmari: On @FaceTheNation #MattSchlapp was on the ball &amp; #jenniferrubin is in a time warped stupor. @realDonaldTrump will EXPAND #GOP"
1264;russel moor truli terribl repres evangel good stand nasti guy heart;.@drmoore  Russell Moore is truly a terrible representative of Evangelicals and all of the good they stand for. A nasty guy with no heart!
1265;interview timm;I will be interviewed on @CNN at TIMME 
1266;wow hear gone realli hostil ever sinc said wont watch show anymorethey misrepres posit;Wow, I hear @Morning_Joe has gone really hostile ever since I said I won't do or watch the show anymore.They misrepresent my positions!
1267;good interview mr trump set fact straight thank;"""@RichBooth6: @realDonaldTrump @CNN good interview Mr. Trump. You set the facts straight."" Thank you."
1268;interview timm enjoy;Will be interviewed by @MariaBartiromo on @FoxBizAlert  at TIMME  Enjoy!
1269;great interview donald today start watch show due donald trump;"""@NathanDWilsonFL: @MariaBartiromo you had a great interview with Donald today! I started watching your show due to Donald Trump."
1270;liar sign pledg wont support reason loser;"""@daybastrop @foxandfriends @BretBaier The liars that signed the pledge and now won't support @realDonaldTrump IS the reason they are losers"
1271;chri seriou lie misinform bill clinton sign nafta;"""@Valdosta_Monkey: @ChrisCuomo @realDonaldTrump  Is Chris serious, lying or misinformed? Bill Clinton signed NAFTA URLi"""
1272;wvprimari votetrump trump;#WVPrimary #VoteTrump #Trump2016 URLi URLi
1273;neprimari votetrump trump;#NEPrimary #VoteTrump #Trump2016 URLi URLi
1274;back trump prez;"""@BillyParker03: @realDonaldTrump The @BillAndMoShow has your back! TRUMP FOR PREZ!"""
1275;support;"""@SteveMullaney1: @realDonaldTrump has all of my support!!"""
1276;doesnt matter vote donald rememb vote donald trump potu;"""@jimlibertarian: @realDonaldTrump @nonstop85716 it doesn't matter how you vote for Donald, just remember to vote Donald Trump for POTUS"
1277;america need donald thank;"""@rua1ri: @realDonaldTrump your what America needs Donald!""  Thank you."
1278;make proud american nice thank;"""@koltonbittner: .@realDonaldTrump makes me proud to be an American"" So nice, thank you!"
1279;liber clown told minion money lose cover enterain huff post poll;The liberal clown  @ariannahuff told her minions at the money losing @HuffingtonPost to cover me as enterainment. I am #1 in Huff Post Poll.
1280;drive amp money lose post crazi poll write bad stori;"It's driving @ariannahuff &amp; the money losing @HuffingtonPost post crazy that I am #1 in their poll and they only write bad stories about me!"
1281;made speech arkansa last night record gop crowd great spirit amaz peopl make america great;Made a speech in Arkansas last night before a record GOP crowd. Great spirit and amazing people. MAKE AMERICA GREAT AGAIN!
1282;rate starv cover accur cant get right realli hard;Ratings starved @CNN and @CNNPolitics does not cover me accurately. Why can't they get it right - it's really not that hard!
1283;billion net worth debt liabil simpl understand amp plain dumb;"The $10 billion (net worth) is AFTER all debt and liabilities. So simple to understand but @CNN &amp; @CNNPolitics is just plain dumb!"
1284;iowa get readi speak peopl alway amaz find protest presbyterian great;I am now in Iowa getting ready to speak. People are always amazed to find out that I am Protestant (Presbyterian). GREAT.
1285;statement john mccain;Statement on John McCain- URLi
1286;left famili leadership summit iowa got stand ovat mani wonder peopl back soon;Just left Family Leadership Summit in Iowa, got a standing ovation from many wonderful people. I will be back soon.
1287;addit lousi job take care vet john mccain let u lose barack obama run presid;In addition to doing a lousy job in taking care of our Vets, John McCain let us down by losing to Barack Obama in his run for President!
1288;captur soldier hero;Captured or not, all our soldiers are heroes!
1289;veteran countri treat like third class citizen mani year;The Veterans of our country have been treated like third class citizens for many years...
1290;john mccain fail miser fix situat make possibl veteran success manag live;....John McCain has failed miserably to fix the situation and to make it possible for Veterans to successfully manage their lives.
1291;go televis talk talk talk incap anyth;All he does is go on television is talk, talk, talk, but incapable of doing anything.
1292;make right great vet;I will make this right for our great Vets!
1293;nation embarrass illeg immigr walk across border receiv free health care one veteran;It's a national embarrassment that an illegal immigrant can walk across the border and receive free health care and one of our Veterans.....
1294;serv countri put wait list get care;....that has served our country is put on a waiting list and gets no care.
1295;proven track record support veteran veteran deserv univers access care va scandal prove politician inept;I have a proven track record supporting our Veterans. Veterans deserve universal access to care. VA scandal proves politicians are inept.
1296;congrat new gov texa take tough amp bold stanc border done long ago perri;"Congrats to the new Gov. of Texas, @GregAbbott_TX, for taking a tough &amp; bold stance at the border. Should have been done long ago by Perry."
1297;would anybodi listen lost elect easili obama wayso john mccain;Why would anybody listen to @MittRomney? He lost an election that should have easily been won against Obama. By the way,so did John McCain!
1298;nanci pelosi fake tear chuck schumer held ralli step suprem court mic work messjust like dem parti;Nancy Pelosi and Fake Tears Chuck Schumer held a rally  at the steps of The Supreme Court and mic did not work (a mess)-just like Dem party!
1299;democrat give u attorney gener rest cabinet asham wonder dc doesnt work;When will the Democrats give us our Attorney General and rest of Cabinet! They should be ashamed of themselves! No wonder D.C. doesn't work!
1300;interview timm thing look good great easterlook forward spend week wisconsin;I will be interviewed on @foxandfriends at TIMME. Things are looking good, had a great Easter-look forward to spending the week in Wisconsin!
1301;stand trump thank;"""@nellalda: @realDonaldTrump We stand by Trump 100%""  Thank you!"
1302;kirsten power anti trump oper aggress shop cruz stori via gateway pundit;"""Kirsten Powers: Anti- Trump Operative was Aggressively Shopping Cruz Story""  via the Gateway Pundit: URLi"
1303;detaine releas gitmo kill american socal leader ever learn;"A detainee released from Gitmo has killed an American. When will our so-called ""leaders"" ever learn!"
1304;ted cruz incens want refocu nato terror well current mission also want other pay fair share must;Ted Cruz is incensed that I want to refocus NATO on terrorism, as well as current mission, but also want others to PAY FAIR SHARE, a must!
1305;campaigntod popular gop total big differ;"""@wolfblitzer:  Campaign-to-date popular GOP totals: @realDonaldTrump 7,546,980; @tedcruz 5,481,737; @JohnKasich 2,724,749"" A BIG DIFFERENCE"
1306;releas intern gang citi end presid;Just released that international gangs are all over our cities. This will end when I am President!
1307;cruz say anyth contrari say your motherhood hell;"""@PaulaDuvall2:  Cruz will say anything that is contrary to what you have to say. If you're for Motherhood, he'll be against it!"""
1308;way beat gov scott walker jeb rand marco other presidenti primari way would ever endors;After the way I beat Gov. Scott Walker (and Jeb, Rand, Marco and all others) in the Presidential Primaries, no way he would ever endorse me!
1309;lyint cruz weak amp lose big want debat accord drudgetim onlin poll debat;"Lyin'Ted Cruz is weak &amp; losing big, so now he wants to debate again. But, according to Drudge,Time and on-line polls, I have won all debates"
1310;lyin ted alreadi beaten debat way ahead vote deleg focu job amp illeg imm;"Lyin' Ted, I have already beaten you in all debates, and am way ahead of you in votes and delegates. You should focus on jobs &amp; illegal imm!"
1311;need secur border asap game must smart tough vigil make america great amp make america strong;"We need to secure our borders ASAP. No games, we must be smart, tough and vigilant. MAKE AMERICA GREAT AGAIN &amp; MAKE AMERICA STRONG AGAIN!"
1312;ill record tonight timm;I'll be on @greta ON THE RECORD tonight at TIMME
1313;interview show timm morn joe timm;I will be interviewed on @TODAY Show at TIMME  and on Morning Joe at TIMME.
1314;melania send deepest condol frank special amaz person miss;.@KathieLGifford, Melania  and I send our deepest condolences. Frank was a special and amazing person. He will be missed by all!
1315;oh realli check innoc discus show year agoi innoc pure oneurli;Oh really, check out innocent @megynkelly discussion on @HowardStern show 5 years ago--I am the innocent (pure) one!URLi
1316;ye arnold schwarzenegg realli bad job governor california even wors apprenticebut least tri hard;Yes, Arnold Schwarzenegger did a really bad job as Governor of California and even worse on the Apprentice...but at least he tried hard!
1317;iran play fire dont appreci kind presid obama;"Iran is playing with fire - they don't appreciate how ""kind"" President Obama was to them. Not me!"
1318;thank prime minist australia tell truth civil convers fake news medium lie nice;Thank you to Prime Minister of Australia for telling the truth about our very civil conversation that FAKE NEWS media lied about. Very nice!
1319;meet biggest busi leader morn good job come back u health care tax bill craft;Meeting with biggest business leaders this morning. Good jobs are coming back to U.S., health care and tax bills are being crafted NOW!
1320;profession anarchist thug paid protest prove point million peopl vote make america great;Professional anarchists, thugs and paid protesters are proving the point of the millions of people who voted to MAKE AMERICA GREAT AGAIN!
1321;refus call megyn kelli bimbo would polit correct instead call lightweight report;I refuse to call Megyn Kelly a bimbo, because that would not be politically correct. Instead I will only call her a lightweight reporter!
1322;statement put yesterday disgrac good broadcast journal would ever say someth nasti amp dumb;"The statement put out yesterday by @FoxNews was a disgrace to good broadcasting and journalism. Who would ever say something so nasty &amp; dumb"
1323;got listen rush limbaugh guy fantast;Just got to listen to Rush Limbaugh - the guy is fantastic!
1324;even though beat first six debat especi last one ted cruz want debat canada;Even though I beat him in the first six debates, especially the last one, Ted Cruz wants to debate me again. Can we do it in Canada?
1325;rt limbaugh show he own entir event;RT @DRUDGE_REPORT: LIMBAUGH: By not showing, he's owning entire event... URLi
1326;self fund campaign owe anyth lobbyist amp special interest;"I am self funding my campaign so I do not owe anything to lobbyists &amp; special interests. URLi URLi"
1327;interview tonight timm eastern enjoy;I will be interviewed on @oreillyfactor tonight at TIMME  (Eastern). Enjoy!
1328;childishli written amp taunt pr statement fox made debat lightweight report;"It was the childishly written &amp; taunting PR statement by Fox that made me not do the debate, more so than lightweight reporter, @megynkelly."
1329;thank lexington south carolina trump makeamericagreatagain;Thank you- Lexington, South Carolina! #Trump2016 #MakeAmericaGreatAgain URLi URLi
1330;fox debat advertis rate fall like rock tune special event veteran timm est;FOX debate advertising rates falling like a rock! Tune into my special event for the Veterans at TIMME EST!
1331;greta peopl said would watch debat im wow honor;On Greta, 87% of the people said they would not watch the debate if I'm not in it. Wow- what an honor!
1332;trump iacaucu finder;#Trump2016 #IACaucus Finder: URLi URLi
1333;look forward watch donald trump ralli thursday night cnn;"""@creta_r: @realDonaldTrump Looking forward to watching Donald Trump rally Thursday night on CNN!!"""
1334;kasich vote nafta disast ohio want even wors tpp approv vote trump end mad;Kasich voted for NAFTA, a disaster for Ohio, and now wants the even worse TPP approved. Vote Trump and end this madness!
1335;rubio weak illeg immigr worst vote record u senat mani year never make america great;Rubio is weak on illegal immigration, with the worst voting record in the U.S. Senate in many years. He will never MAKE AMERICA GREAT AGAIN!
1336;bring job back america fix militari take care vet end common core obamacar protectnd build wall;I will bring our jobs back to America, fix our military and take care of our vets, end Common Core and ObamaCare, protect 2nd A, build WALL
1337;sour mitt romney ran worst campaign presidenti histori lose obama push kasichtel mitt go vote;Sour Mitt Romney, who ran the worst campaign in presidential history in losing to Obama, is now pushing Kasich.Tell Mitt where to go, vote T
1338;plea rememb candid selffund campaign kasich rubio cruz bought paid lobbyist;Please remember, I am the ONLY candidate who is self-funding his campaign. Kasich, Rubio and Cruz are all bought and paid for by lobbyists!
1339;dont reward mitt romney let u last presidenti race vote kasich vote nafta open border etc;Don't reward Mitt Romney, who let us all down in the last presidential race, by voting for Kasich (who voted for NAFTA, open borders etc.).
1340;good morn ohio addit inform daughter votetrump supertuesday;Good morning Ohio! Some additional information from my daughter, @IvankaTrump! #VoteTrump #SuperTuesday URLi
1341;big news declar winner cnmi rep caucu vote thank supertuesday votetrump;Just in, big news- I have been declared the winner of the CNMI Rep Caucus with 72.8% of the vote! Thank you! #SuperTuesday #VoteTrump
1342;funni jeb didnt want help famili fail campaign didnt even want use last namethen mommi brother;Funny that Jeb(!) didn't want help from his family in his failed campaign and didn't even want to use his last name.Then mommy, now brother!
1343;jeb bush ted cruz elect presidenti candid hillari would destroy ted may elig run born canada;Jeb Bush and Ted Cruz are not electable presidential candidates, Hillary would destroy them. Ted may not be eligible to run - born in Canada
1344;south carolina week saturday big big big get vote make america great;I will be in South Carolina all week. Saturday is BIG, BIG, BIG! Get out and vote - MAKE AMERICA GREAT AGAIN
1345;georg bush campaign jeb fair game question world trade center iraq war eco collaps care;Now that George Bush is campaigning for Jeb(!), is he fair game for questions about World Trade Center, Iraq War and eco collapse? Careful!
1346;id like call jeb liar truth clue amp never reveal use emin domain critic;"I'd like to call JEB a liar, but the truth is he has no clue &amp; never revealed that he used Eminent Domain- when criticizing me! (1/2)"
1347;jeb use emin domain amp took advantag disabl vet process;"Jeb used Eminent Domain &amp; took advantage of a disabled vet in the process. (2/2) URLi"
1348;jeb hypocrit use massiv privat emin domain anoth clueless politician;"JEB is a hypocrite! Used massive private ""Eminent Domain"" --- Just another clueless politician!  URLi"
1349;respons lie senat cruz trump votetrumpsc;RESPONSE TO THE LIES OF SENATOR CRUZ: URLi #Trump2016 #VoteTrumpSC
1350;thank continu support makeamericagreatagain;Thank you for your continued support! #MakeAmericaGreatAgain URLi
1351;nighttimmeaz support greenvil south carolina thank vote saturday votetrumpsc;What a night! 10,0TIMMEazing supporters in Greenville, South Carolina! THANK YOU! VOTE on Saturday! #VoteTrumpSC URLi
1352;new south carolina poll ppp thank votetrumpsc;New South Carolina poll from PPP. Thank you! #VoteTrumpSC URLi
1353;even young conserv support right choic countri gener;"""@OfficialTentBoy: Even young conservatives support @realDonaldTrump because he is the right choice for this country and my generation"""
1354;hear doubter heard reagan ran carter press said hed lose reagan;"""@MYKALFURY: @seanhannity @realDonaldTrump I hear same doubters as I heard when Reagan ran against Carter. Press said he'd lose. Reagan WON."
1355;debat donald whod watch gop upcom debat sour grape;"""@AndreaWeslien: #DEBATE @seanhannity @realDonaldTrump If not for Donald, who'd watch GOP upcoming debate? SOUR GRAPES"
1356;reaganom creat million new job trumpenom creat million;"""@lucascoon1: @realDonaldTrump Reaganomics created 16 million new jobs and Trumpenomics will create 16 million more"""
1357;trump stage one watch true;"""@ConnieHegel: @realDonaldTrump if trump is not on that stage no one will watch""  So true!"
1358;lifetim ive never seen american energ excit vote woke million peopl;"""@hammetjohn: In my Lifetime I've Never Seen Americans Energized, Excited about Voting. @realDonaldTrump Woke up about 300 Million people"
1359;god cant gop see trump sole r countri comfort life;"""@Shella_Bella:  @ConnieHegel MY GOD! WHY can't the GOP see that Trump is doing this solely 4 R country! He HAD a VERY comfortable life!"""
1360;plea mr trump keep pressur bring chang countri;"""@Operator1975: @realDonaldTrump Please Mr. Trump keep the pressure on and bring change to this country!!!!!"""
1361;your go turn america around donald feel;"""@GarethBale22: @realDonaldTrump you're going to turn America around Donald I can feel it"""
1362;u realli b angri abt invas million illeg tking america donaldtrump;"""@sandrapatriot: @stephenfhayes WHAT U REALLY SHOULD B ANGRY ABT IS THE INVASION OF MILLIONS OF ILLEGALS TKING OVER AMERICA! NOT DonaldTrump"
1363;get readi go iowa today big crowd great day;Getting ready to go to Iowa today. Big crowd - will be a great day!
1364;big poll inst place lot great honor long way go make america great;Big poll just out by @TheEconomist has me in 1st. place by a lot. A great honor but we have a long way to go to MAKE AMERICA GREAT AGAIN!
1365;donald crush;"""@kerrygold1914: @realDonaldTrump @TheEconomist the Donald is crushing it"""
1366;donald trump stop run presid he peopl think never happen;"""@StoneZipper:  @stephenfhayes Donald Trump if he stops running for president he's not what we the people think he is."" Will never happen!"
1367;trump offic restor u swagger;"""@energypryde: @realDonaldTrump @TheEconomist Trump in office restores US swagger."""
